 	root	pt	de	zh-tw	zh
HISTORY_HINT	 Use Ctrl+UP/DOWN to fetch the history	Use Ctrl+UP/DOWN para usar a histórico	 Mit Strg+UP/DOWN durch die History blättern	使用Ctrl + UP / DOWN來獲取歷史紀錄	使用Ctrl + UP / DOWN来获取历史纪录
SPACETEXT_HINT	 use \\$ for leading and trimming spaces	  usar \\ $ para espaços finais e iniciais	 \\$ für führende und nachfolgende Leerzeichen	 使用 \\$ 來獲取行初空白與行尾空白	 使用 \\$ 来获取行初空白与行尾空白
SHORTCUT_HINT	Ex: Ctrl-Shift-U (win).  Cmd-Shift-U (mac)	Ex: Ctrl-Shift-U (vitória). Cmd-Shift-U (mac)	z.B.: Strg-Umsch-U (Win).  Cmd-Shift-U (Mac)	例如：Ctrl-Shift-U (win).  Cmd-Shift-U (mac)	例如：Ctrl-Shift-U (win). Cmd-Shift-U (mac)
NEED_RESTART_MSG	Only takes effect after restart!	Só tem efeito após reiniciar!	Wird erst nach Neustart wirksam!	重新啟動後生效！	重新启动后生效！
DEVBY_MSG	Developed by {0}	Desenvolvido por {0}	Entwickelt von {0}	通過{0}開發	通过{0}开发
EXTRACTOR_MSG	Write a regular expression<br>All matches will be copy to the clipboard<br>	Escreva uma expressão regular <br> Todos os resultados serão copiados para o clipboard <br>	Schreibe einen regulären Ausdruck<br>Alles was darauf passt wird in die Zwischenablage kopiert.<br>	寫出一個正則運算法<br>所有符合的項目將會複製到剪貼板<br>	写出一个正则运算法<br>所有符合的项目将会复制到剪贴板<br>
FLD_limaxcharsperline_label	Max Chars per line	Max caracteres por linha	Max. Anzahl Zeichen pro Zeile	每行的最大值	每行的最大值
FLD_limaxcharsperline_hint	Set 0 to no word wrap	Defina 0 para não quebrar automaticamente	Auf 0 setzen, um den Zeilenumbruch zu verhindern	設置0無自動換行	设置0无自动换行
FLD_maxcharsperline_label	Max Chars per line	Max carac. por linha	Max. Anzahl Zeichen pro Zeile	每行的最大值	每行的最大值
FLD_maxcharsperline_hint	Min is 1	Min é 1	Mindestens 1	最小值為1	最小值为1
FLD_tobreakwords_label	Break words	Quebrar palavras	Wörter umbrechen	斷詞	断词
